 345: #000000, #151ecf, #7b7b30, #f384ff, #ffffff
 346: #000000, #151ecf, #ea1e15, #f384ff, #ffffff
 347: #000000, #151ecf, #ea1e0c, #f384ff, #ffffff
 348: #000000, #151ecf, #ea1e03, #f384ff, #ffffff
 349: #000000, #151ecf, #ea1e00, #f384ff, #ffffff
 350: #000000, #151ecf, #ea1e1e, #f384ff, #ffffff
 351: #000000, #151ecf, #ea1e27, #f384ff, #ffffff
 352: #000000, #151ecf, #e13030, #f384ff, #ffffff
 353: #000000, #151ecf, #ea1539, #f384ff, #ffffff
 354: #000000, #151ecf, #ea1542, #f384ff, #ffffff
 355: #000000, #301ec6, #7b7b00, #f384ff, #ffffff
 356: #000000, #301ec6, #7b7b03, #f384ff, #ffffff
 357: #000000, #301ec6, #7b7b0c, #f384ff, #ffffff
 358: #000000, #301ec6, #7b7b15, #f384ff, #ffffff
 359: #000000, #301ec6, #7b7b1e, #f384ff, #ffffff
 360: #000000, #301ec6, #7b7b27, #f384ff, #ffffff
 361: #000000, #301ec6, #7b7b30, #f384ff, #ffffff
 362: #000000, #301ec6, #ea1e15, #f384ff, #ffffff
 363: #000000, #301ec6, #ea1e0c, #f384ff, #ffffff
 364: #000000, #301ec6, #ea1e03, #f384ff, #ffffff
 365: #000000, #301ec6, #ea1e00, #f384ff, #ffffff
 366: #000000, #301ec6, #ea1e1e, #f384ff, #ffffff
 367: #000000, #301ec6, #ea1e27, #f384ff, #ffffff
 368: #000000, #301ec6, #e13030, #f384ff, #ffffff
 369: #000000, #301ec6, #ea1539, #f384ff, #ffffff
 370: #000000, #301ec6, #ea1542, #f384ff, #ffffff
 371: #000000, #1527c6, #7b7b00, #f384ff, #ffffff
 372: #000000, #1527c6, #7b7b03, #f384ff, #ffffff
 373: #000000, #1527c6, #7b7b0c, #f384ff, #ffffff
 374: #000000, #1527c6, #7b7b15, #f384ff, #ffffff
 375: #000000, #1527c6, #7b7b1e, #f384ff, #ffffff
 376: #000000, #1527c6, #7b7b27, #f384ff, #ffffff
 377: #000000, #1527c6, #7b7b30, #f384ff, #ffffff
 378: #000000, #1527c6, #ea1e15, #f384ff, #ffffff
 379: #000000, #1527c6, #ea1e0c, #f384ff, #ffffff
 380: #000000, #1527c6, #ea1e03, #f384ff, #ffffff
 381: #000000, #1527c6, #ea1e00, #f384ff, #ffffff
 382: #000000, #1527c6, #ea1e1e, #f384ff, #ffffff
