 380: #000000, #033ff0, #db8400, #ffffff
 381: #000000, #003ff0, #db8400, #ffffff
 382: #000000, #3f36ed, #db8400, #ffffff
 383: #000000, #3c36ed, #db8400, #ffffff
 384: #000000, #3639ed, #db8400, #ffffff
 385: #000000, #3339ed, #db8400, #ffffff
 386: #000000, #3039ed, #db8400, #ffffff
 387: #000000, #2a3ced, #db8400, #ffffff
 388: #000000, #273ced, #db8400, #ffffff
 389: #000000, #243ced, #db8400, #ffffff
 390: #000000, #183fed, #db8400, #ffffff
 391: #000000, #153fed, #db8400, #ffffff
 392: #000000, #123fed, #db8400, #ffffff
 393: #000000, #213ced, #db8400, #ffffff
 394: #000000, #0f3fed, #db8400, #ffffff
 395: #000000, #0c3fed, #db8400, #ffffff
 396: #000000, #093fed, #db8400, #ffffff
 397: #000000, #063fed, #db8400, #ffffff
 398: #000000, #033fed, #db8400, #ffffff
 399: #000000, #003fed, #db8400, #ffffff
 400: #000000, #3c39ea, #db8400, #ffffff
 401: #000000, #3939ea, #db8400, #ffffff
 402: #000000, #303cea, #db8400, #ffffff
 403: #000000, #243fea, #db8400, #ffffff
 404: #000000, #3639ea, #db8400, #ffffff
 405: #000000, #2d3cea, #db8400, #ffffff
 406: #000000, #2a3cea, #db8400, #ffffff
 407: #000000, #213fea, #db8400, #ffffff
 408: #000000, #1e3fea, #db8400, #ffffff
 409: #000000, #1b3fea, #db8400, #ffffff
 410: #000000, #0342ea, #db8400, #ffffff
 411: #000000, #0042ea, #db8400, #ffffff
 412: #000000, #183fea, #db8400, #ffffff
 413: #000000, #153fea, #db8400, #ffffff
 414: #000000, #393ce7, #db8400, #ffffff
 415: #000000, #363ce7, #db8400, #ffffff
 416: #000000, #333ce7, #db8400, #ffffff
 417: #000000, #2a3fe7, #db8400, #ffffff
 418: #000000, #273fe7, #db8400, #ffffff
 419: #000000, #243fe7, #db8400, #ffffff
 420: #000000, #213fe7, #db8400, #ffffff
 421: #000000, #1842e7, #db8400, #ffffff
 422: #000000, #1542e7, #db8400, #ffffff
 423: #000000, #1242e7, #db8400, #ffffff
 424: #000000, #0f42e7, #db8400, #ffffff
 425: #000000, #0c42e7, #db8400, #ffffff
 426: #000000, #0942e7, #db8400, #ffffff
 427: #000000, #0642e7, #db8400, #ffffff
 428: #000000, #0342e7, #db8400, #ffffff
 429: #000000, #0042e7, #db8400, #ffffff
 430: #000000, #333fe4, #db8400, #ffffff
 431: #000000, #303fe4, #db8400, #ffffff
 432: #000000, #2d3fe4, #db8400, #ffffff
 433: #000000, #2442e4, #db8400, #ffffff
 434: #000000, #2142e4, #db8400, #ffffff
 435: #000000, #2a3fe4, #db8400, #ffffff
 436: #000000, #1e42e4, #db8400, #ffffff
 437: #000000, #1b42e4, #db8400, #ffffff
 438: #000000, #1842e4, #db8400, #ffffff
 439: #000000, #1542e4, #db8400, #ffffff
 440: #000000, #0045e4, #db8400, #ffffff
 441: #000000, #2a42e1, #db8400, #ffffff
 442: #000000, #2742e1, #db8400, #ffffff
 443: #000000, #2442e1, #db8400, #ffffff
 444: #000000, #1545e1, #db8400, #ffffff
 445: #000000, #1245e1, #db8400, #ffffff
 446: #000000, #2142e1, #db8400, #ffffff
 447: #000000, #0f45e1, #db8400, #ffffff
 448: #000000, #0c45e1, #db8400, #ffffff
 449: #000000, #0945e1, #db8400, #ffffff
 450: #000000, #0645e1, #db8400, #ffffff
 451: #000000, #0345e1, #db8400, #ffffff
 452: #000000, #0045e1, #db8400, #ffffff
 453: #000000, #2145de, #db8400, #ffffff
 454: #000000, #1e45de, #db8400, #ffffff
 455: #000000, #1b45de, #db8400, #ffffff
 456: #000000, #1845de, #db8400, #ffffff
 457: #000000, #1545de, #db8400, #ffffff
 458: #000000, #1245de, #db8400, #ffffff
 459: #000000, #2a45db, #db8400, #ffffff
 460: #000000, #2745db, #db8400, #ffffff
 461: #000000, #2445db, #db8400, #ffffff
 462: #000000, #2145db, #db8400, #ffffff
 463: #000000, #1e45db, #db8400, #ffffff
 464: #000000, #0f48db, #db8400, #ffffff
 465: #000000, #0c48db, #db8400, #ffffff
 466: #000000, #0948db, #db8400, #ffffff
 467: #000000, #0648db, #db8400, #ffffff
 468: #000000, #0348db, #db8400, #ffffff
 469: #000000, #0048db, #db8400, #ffffff
 470: #000000, #1e48d8, #db8400, #ffffff
 471: #000000, #1b48d8, #db8400, #ffffff
 472: #000000, #1848d8, #db8400, #ffffff
 473: #000000, #1548d8, #db8400, #ffffff
 474: #000000, #1248d8, #db8400, #ffffff
 475: #000000, #0f48d8, #db8400, #ffffff
 476: #000000, #0c48d8, #db8400, #ffffff
 477: #000000, #0948d8, #db8400, #ffffff
 478: #000000, #1e48d5, #db8400, #ffffff
 479: #000000, #1b48d5, #db8400, #ffffff
 480: #000000, #034bd5, #db8400, #ffffff
 481: #000000, #004bd5, #db8400, #ffffff
 482: #000000, #154bd2, #db8400, #ffffff
 483: #000000, #124bd2, #db8400, #ffffff
 484: #000000, #0f4bd2, #db8400, #ffffff
 485: #000000, #0c4bd2, #db8400, #ffffff
 486: #000000, #094bd2, #db8400, #ffffff
 487: #000000, #064bd2, #db8400, #ffffff
 488: #000000, #034bd2, #db8400, #ffffff
 489: #000000, #004bd2, #db8400, #ffffff
 490: #000000, #094ecc, #db8400, #ffffff
 491: #000000, #064ecc, #db8400, #ffffff
 492: #000000, #034ecc, #db8400, #ffffff
 493: #000000, #004ecc, #db8400, #ffffff
 494: #000000, #4227ff, #d58700, #ffffff
 495: #000000, #3c2aff, #d58700, #ffffff
 496: #000000, #5418ff, #d58700, #ffffff
 497: #000000, #511bff, #d58700, #ffffff
 498: #000000, #4e1eff, #d58700, #ffffff
 499: #000000, #4b21ff, #d58700, #ffffff
 500: #000000, #4824ff, #d58700, #ffffff
 501: #000000, #3f27ff, #d58700, #ffffff
 502: #000000, #392aff, #d58700, #ffffff
 503: #000000, #362aff, #d58700, #ffffff
 504: #000000, #332dff, #d58700, #ffffff
 505: #000000, #302dff, #d58700, #ffffff
 506: #000000, #2a30ff, #d58700, #ffffff
 507: #000000, #1e33ff, #d58700, #ffffff
 508: #000000, #4821ff, #d58700, #ffffff
 509: #000000, #4524ff, #d58700, #ffffff
 510: #000000, #2d2dff, #d58700, #ffffff
 511: #000000, #2730ff, #d58700, #ffffff
 512: #000000, #2430ff, #d58700, #ffffff
 513: #000000, #2130ff, #d58700, #ffffff
 514: #000000, #1b33ff, #d58700, #ffffff
 515: #000000, #1833ff, #d58700, #ffffff
 516: #000000, #1533ff, #d58700, #ffffff
 517: #000000, #1233ff, #d58700, #ffffff
 518: #000000, #0036ff, #d58700, #ffffff
 519: #000000, #4b24fc, #d58700, #ffffff
 520: #000000, #4827fc, #d58700, #ffffff
 521: #000000, #0f33ff, #d58700, #ffffff
 522: #000000, #0c33ff, #d58700, #ffffff
 523: #000000, #0933ff, #d58700, #ffffff
 524: #000000, #4824fc, #d58700, #ffffff
 525: #000000, #4527fc, #d58700, #ffffff
 526: #000000, #422afc, #d58700, #ffffff
 527: #000000, #3f2afc, #d58700, #ffffff
 528: #000000, #3c2dfc, #d58700, #ffffff
 529: #000000, #392dfc, #d58700, #ffffff
 530: #000000, #3330fc, #d58700, #ffffff
 531: #000000, #4e21fc, #d58700, #ffffff
 532: #000000, #3c2afc, #d58700, #ffffff
 533: #000000, #362dfc, #d58700, #ffffff
 534: #000000, #3030fc, #d58700, #ffffff
 535: #000000, #2d30fc, #d58700, #ffffff
 536: #000000, #2733fc, #d58700, #ffffff
 537: #000000, #2433fc, #d58700, #ffffff
 538: #000000, #1836fc, #d58700, #ffffff
 539: #000000, #2133fc, #d58700, #ffffff
 540: #000000, #1e33fc, #d58700, #ffffff
 541: #000000, #1536fc, #d58700, #ffffff
 542: #000000, #1236fc, #d58700, #ffffff
 543: #000000, #0f36fc, #d58700, #ffffff
 544: #000000, #0c36fc, #d58700, #ffffff
 545: #000000, #0936fc, #d58700, #ffffff
 546: #000000, #0636fc, #d58700, #ffffff
 547: #000000, #4b27f9, #d58700, #ffffff
 548: #000000, #482af9, #d58700, #ffffff
 549: #000000, #0336fc, #d58700, #ffffff
 550: #000000, #0036fc, #d58700, #ffffff
 551: #000000, #4827f9, #d58700, #ffffff
 552: #000000, #452af9, #d58700, #ffffff
 553: #000000, #422af9, #d58700, #ffffff
 554: #000000, #3f2df9, #d58700, #ffffff
 555: #000000, #3c2df9, #d58700, #ffffff
 556: #000000, #3930f9, #d58700, #ffffff
 557: #000000, #3033f9, #d58700, #ffffff
 558: #000000, #3630f9, #d58700, #ffffff
 559: #000000, #3330f9, #d58700, #ffffff
 560: #000000, #2d33f9, #d58700, #ffffff
 561: #000000, #2a33f9, #d58700, #ffffff
 562: #000000, #2436f9, #d58700, #ffffff
 563: #000000, #2136f9, #d58700, #ffffff
 564: #000000, #1e36f9, #d58700, #ffffff
 565: #000000, #0f39f9, #d58700, #ffffff
 566: #000000, #0c39f9, #d58700, #ffffff
 567: #000000, #1b36f9, #d58700, #ffffff
 568: #000000, #1836f9, #d58700, #ffffff
 569: #000000, #0939f9, #d58700, #ffffff
 570: #000000, #0639f9, #d58700, #ffffff
 571: #000000, #0339f9, #d58700, #ffffff
 572: #000000, #0039f9, #d58700, #ffffff
 573: #000000, #4b2af6, #d58700, #ffffff
 574: #000000, #482af6, #d58700, #ffffff
 575: #000000, #452df6, #d58700, #ffffff
 576: #000000, #3f30f6, #d58700, #ffffff
 577: #000000, #422df6, #d58700, #ffffff
