 526: #000000, #2f30fd, #d68600, #ffffff
 527: #000000, #2f30fd, #d58600, #ffffff
 528: #000000, #2f2ffd, #d68600, #ffffff
 529: #000000, #2f2ffd, #d58600, #ffffff
 530: #000000, #2e31fd, #d68600, #ffffff
 531: #000000, #2e31fd, #d58600, #ffffff
 532: #000000, #2e30fd, #d68600, #ffffff
 533: #000000, #2e30fd, #d58600, #ffffff
 534: #000000, #2e2ffd, #d68600, #ffffff
 535: #000000, #2e2ffd, #d58600, #ffffff
 536: #000000, #2d31fd, #d68600, #ffffff
 537: #000000, #2d31fd, #d58600, #ffffff
 538: #000000, #2d30fd, #d68600, #ffffff
 539: #000000, #2d30fd, #d58600, #ffffff
 540: #000000, #2c31fd, #d68600, #ffffff
 541: #000000, #2c31fd, #d58600, #ffffff
 542: #000000, #2c30fd, #d68600, #ffffff
 543: #000000, #2c30fd, #d58600, #ffffff
 544: #000000, #2832fd, #d68600, #ffffff
 545: #000000, #2832fd, #d58600, #ffffff
 546: #000000, #2732fd, #d68600, #ffffff
 547: #000000, #2732fd, #d58600, #ffffff
 548: #000000, #2633fd, #d68600, #ffffff
 549: #000000, #2633fd, #d58600, #ffffff
 550: #000000, #2632fd, #d68600, #ffffff
 551: #000000, #2632fd, #d58600, #ffffff
 552: #000000, #2533fd, #d68600, #ffffff
 553: #000000, #2533fd, #d58600, #ffffff
 554: #000000, #2433fd, #d68600, #ffffff
 555: #000000, #2433fd, #d58600, #ffffff
 556: #000000, #2333fd, #d68600, #ffffff
 557: #000000, #2333fd, #d58600, #ffffff
 558: #000000, #2233fd, #d68600, #ffffff
 559: #000000, #2233fd, #d58600, #ffffff
 560: #000000, #2134fd, #d68600, #ffffff
 561: #000000, #2134fd, #d58600, #ffffff
 562: #000000, #2034fd, #d68600, #ffffff
 563: #000000, #2034fd, #d58600, #ffffff
 564: #000000, #1f34fd, #d68600, #ffffff
 565: #000000, #1f34fd, #d58600, #ffffff
 566: #000000, #1e34fd, #d68600, #ffffff
 567: #000000, #1e34fd, #d58600, #ffffff
 568: #000000, #4d20fd, #d68600, #ffffff
 569: #000000, #4d20fd, #d58600, #ffffff
 570: #000000, #4b23fc, #d68600, #ffffff
 571: #000000, #4b23fc, #d58600, #ffffff
 572: #000000, #4a23fd, #d68600, #ffffff
 573: #000000, #4a23fd, #d58600, #ffffff
 574: #000000, #4a23fc, #d68600, #ffffff
 575: #000000, #4a23fc, #d58600, #ffffff
