 600: #000000, #bd2be9, #ffffff
 601: #000000, #bd2ae9, #ffffff
 602: #000000, #bd29ea, #ffffff
 603: #000000, #bf28ea, #ffffff
 604: #000000, #bf27ea, #ffffff
 605: #000000, #bf26eb, #ffffff
 606: #000000, #bf25eb, #ffffff
 607: #000000, #c029e4, #ffffff
 608: #000000, #bf2be4, #ffffff
 609: #000000, #be2ee4, #ffffff
 610: #000000, #bb2fe7, #ffffff
 611: #000000, #c124e9, #ffffff
 612: #000000, #c027e9, #ffffff
 613: #000000, #b937de, #ffffff
 614: #000000, #c026ea, #ffffff
 615: #000000, #c025ea, #ffffff
 616: #000000, #c024eb, #ffffff
 617: #000000, #c024ea, #ffffff
 618: #000000, #c023eb, #ffffff
 619: #000000, #b933e4, #ffffff
 620: #000000, #c603f4, #ffffff
 621: #000000, #c602f4, #ffffff
 622: #000000, #bd2aea, #ffffff
 623: #000000, #bd29eb, #ffffff
 624: #000000, #bf27eb, #ffffff
 625: #000000, #bf25ec, #ffffff
 626: #000000, #bf24ed, #ffffff
 627: #000000, #bf24ec, #ffffff
 628: #000000, #bf23ed, #ffffff
 629: #000000, #bf22ed, #ffffff
 630: #000000, #bf20ee, #ffffff
 631: #000000, #c808ea, #ffffff
 632: #000000, #c807ea, #ffffff
 633: #000000, #c806ea, #ffffff
 634: #000000, #c805ea, #ffffff
 635: #000000, #c710ea, #ffffff
 636: #000000, #c70fea, #ffffff
 637: #000000, #c70eea, #ffffff
 638: #000000, #c616ea, #ffffff
 639: #000000, #c615ea, #ffffff
 640: #000000, #c614ea, #ffffff
 641: #000000, #c519ea, #ffffff
 642: #000000, #c41eea, #ffffff
 643: #000000, #c41dea, #ffffff
 644: #000000, #be2ce3, #ffffff
 645: #000000, #bd2ee3, #ffffff
 646: #000000, #bc31e3, #ffffff
 647: #000000, #bc30e3, #ffffff
 648: #000000, #c003fc, #ffffff
 649: #000000, #bc2beb, #ffffff
 650: #000000, #bc2aeb, #ffffff
 651: #000000, #ba30e8, #ffffff
 652: #000000, #ba2fe8, #ffffff
 653: #000000, #c122ed, #ffffff
 654: #000000, #c121ed, #ffffff
 655: #000000, #c120ee, #ffffff
 656: #000000, #c120ed, #ffffff
 657: #000000, #c611e9, #ffffff
 658: #000000, #c517e9, #ffffff
 659: #000000, #c516e9, #ffffff
 660: #000000, #c515e9, #ffffff
 661: #000000, #c41be9, #ffffff
 662: #000000, #c41ae9, #ffffff
 663: #000000, #c31fe9, #ffffff
 664: #000000, #c31ee9, #ffffff
 665: #000000, #c125e9, #ffffff
 666: #000000, #c028e9, #ffffff
 667: #000000, #c224e4, #ffffff
 668: #000000, #be26ed, #ffffff
 669: #000000, #be23ef, #ffffff
 670: #000000, #c01ff0, #ffffff
 671: #000000, #c01ef0, #ffffff
 672: #000000, #bf23ee, #ffffff
 673: #000000, #bf22ee, #ffffff
 674: #000000, #bf21ee, #ffffff
 675: #000000, #bc29ec, #ffffff
 676: #000000, #bc28ed, #ffffff
 677: #000000, #bc27ee, #ffffff
 678: #000000, #ba2fe9, #ffffff
 679: #000000, #c903ea, #ffffff
 680: #000000, #c902ea, #ffffff
 681: #000000, #c900ea, #ffffff
 682: #000000, #c80aea, #ffffff
 683: #000000, #c809ea, #ffffff
 684: #000000, #c712ea, #ffffff
 685: #000000, #c711ea, #ffffff
 686: #000000, #c617ea, #ffffff
 687: #000000, #c121ee, #ffffff
 688: #000000, #c11fef, #ffffff
 689: #000000, #c11eef, #ffffff
 690: #000000, #c11df0, #ffffff
 691: #000000, #c11def, #ffffff
 692: #000000, #c11cf0, #ffffff
 693: #000000, #c11bf0, #ffffff
 694: #000000, #bf2be3, #ffffff
 695: #000000, #be2ee3, #ffffff
 696: #000000, #be2de3, #ffffff
 697: #000000, #bd30e3, #ffffff
 698: #000000, #bd2fe3, #ffffff
 699: #000000, #c020f0, #ffffff
 700: #000000, #c01ef1, #ffffff
 701: #000000, #c01df1, #ffffff
 702: #000000, #c01cf2, #ffffff
 703: #000000, #c01cf1, #ffffff
 704: #000000, #c01bf2, #ffffff
 705: #000000, #c01af2, #ffffff
 706: #000000, #c019f2, #ffffff
 707: #000000, #c017f3, #ffffff
 708: #000000, #c70ee9, #ffffff
 709: #000000, #c614e9, #ffffff
 710: #000000, #c613e9, #ffffff
 711: #000000, #c612e9, #ffffff
 712: #000000, #c519e9, #ffffff
 713: #000000, #c518e9, #ffffff
 714: #000000, #c41de9, #ffffff
 715: #000000, #c41ce9, #ffffff
 716: #000000, #bd24f0, #ffffff
 717: #000000, #bd23f0, #ffffff
 718: #000000, #c319f0, #ffffff
 719: #000000, #c318f1, #ffffff
 720: #000000, #c318f0, #ffffff
 721: #000000, #c317f1, #ffffff
 722: #000000, #c316f1, #ffffff
 723: #000000, #c216f3, #ffffff
 724: #000000, #c215f3, #ffffff
 725: #000000, #c214f3, #ffffff
 726: #000000, #bf1df3, #ffffff
